animal,contrast,genotype,0.2,0.5,0.8
SH015,0.0,S,0.5564648117839607,0.5161290322580645,0.6269113149847095
SH015,0.0625,S,0.7855579868708972,0.5425531914893617,0.5339805825242718
SH015,0.125,S,0.8916155419222904,0.6276595744680851,0.7073170731707317
SH015,0.25,S,0.9507042253521126,0.8333333333333334,0.8897058823529411
SH015,1.0,S,0.9634146341463414,0.90625,0.9487179487179487
SH016,-1.0,S,0.0,0.0,0.0
SH016,-0.25,S,0.19999999999999996,0.08333333333333337,0.10344827586206895
SH016,-0.125,S,0.7,0.4444444444444444,0.2941176470588235
SH016,-0.0625,S,0.8888888888888888,0.8,0.30952380952380953
SH016,0.0,S,0.625,0.5333333333333333,0.5272727272727272
SH016,0.0625,S,0.6666666666666666,0.5555555555555556,0.2857142857142857
SH016,0.125,S,0.5294117647058824,0.7777777777777778,0.7692307692307693
SH016,0.25,S,0.7777777777777778,0.8571428571428571,0.3333333333333333
SH016,1.0,S,0.8076923076923077,0.8,0.4
SH017,-1.0,S,0.0046511627906976605,0.0078125,0.005820721769499437
SH017,-0.25,S,0.041284403669724745,0.015151515151515138,0.022471910112359605
SH017,-0.125,S,0.04385964912280704,0.027027027027026973,0.030701754385964897
SH017,-0.0625,S,0.11848341232227488,0.20491803278688525,0.06277533039647576
SH017,0.0,S,0.590285110876452,0.48484848484848486,0.5725338491295938
SH017,0.0625,S,0.8470290771175727,0.8428571428571429,0.7836538461538461
SH017,0.125,S,0.8890339425587467,0.9097744360902256,0.861244019138756
SH017,0.25,S,0.942998760842627,0.9090909090909091,0.9487179487179487
SH017,1.0,S,0.9715302491103203,0.9735099337748344,0.9871244635193133
